curriculum_rel_num: 1 || curriculum_instance_num: 1 
 Task 4 	 Avg_acc: 0.758 	 Whole_acc: 0.642 
 Task 5 	 Avg_acc: 0.741 	 Whole_acc: 0.678 
 Task 6 	 Avg_acc: 0.681 	 Whole_acc: 0.598 
 Task 7 	 Avg_acc: 0.665 	 Whole_acc: 0.605 
 Task 8 	 Avg_acc: 0.645 	 Whole_acc: 0.595 
 Task 9 	 Avg_acc: 0.629 	 Whole_acc: 0.540 
curriculum_rel_num: 3 || curriculum_instance_num: 20 
 Task 0 	 Avg_acc: 0.913 	 Whole_acc: 0.913 
 Task 1 	 Avg_acc: 0.903 	 Whole_acc: 0.895 
 Task 2 	 Avg_acc: 0.752 	 Whole_acc: 0.676 
 Task 3 	 Avg_acc: 0.763 	 Whole_acc: 0.685 
 Task 4 	 Avg_acc: 0.791 	 Whole_acc: 0.702 
 Task 5 	 Avg_acc: 0.780 	 Whole_acc: 0.697 
 Task 6 	 Avg_acc: 0.728 	 Whole_acc: 0.623 
 Task 7 	 Avg_acc: 0.694 	 Whole_acc: 0.622 
 Task 8 	 Avg_acc: 0.654 	 Whole_acc: 0.615 
 Task 9 	 Avg_acc: 0.622 	 Whole_acc: 0.544 
curriculum_rel_num: 5 || curriculum_instance_num: 1 
 Task 0 	 Avg_acc: 0.913 	 Whole_acc: 0.913 
 Task 1 	 Avg_acc: 0.878 	 Whole_acc: 0.880 
 Task 2 	 Avg_acc: 0.726 	 Whole_acc: 0.618 
 Task 3 	 Avg_acc: 0.688 	 Whole_acc: 0.643 
 Task 4 	 Avg_acc: 0.718 	 Whole_acc: 0.652 
 Task 5 	 Avg_acc: 0.720 	 Whole_acc: 0.631 
 Task 6 	 Avg_acc: 0.677 	 Whole_acc: 0.568 
 Task 7 	 Avg_acc: 0.633 	 Whole_acc: 0.553 
 Task 8 	 Avg_acc: 0.604 	 Whole_acc: 0.542 
 Task 9 	 Avg_acc: 0.567 	 Whole_acc: 0.470 
curriculum_rel_num: 5 || curriculum_instance_num: 3 
 Task 0 	 Avg_acc: 0.913 	 Whole_acc: 0.913 
 Task 1 	 Avg_acc: 0.897 	 Whole_acc: 0.900 
 Task 2 	 Avg_acc: 0.779 	 Whole_acc: 0.662 
 Task 3 	 Avg_acc: 0.761 	 Whole_acc: 0.709 
 Task 4 	 Avg_acc: 0.782 	 Whole_acc: 0.713 
 Task 5 	 Avg_acc: 0.768 	 Whole_acc: 0.696 
 Task 6 	 Avg_acc: 0.692 	 Whole_acc: 0.606 
 Task 7 	 Avg_acc: 0.672 	 Whole_acc: 0.599 
 Task 8 	 Avg_acc: 0.637 	 Whole_acc: 0.584 
 Task 9 	 Avg_acc: 0.593 	 Whole_acc: 0.513 
curriculum_rel_num: 5 || curriculum_instance_num: 5 
 Task 0 	 Avg_acc: 0.913 	 Whole_acc: 0.913 
 Task 1 	 Avg_acc: 0.890 	 Whole_acc: 0.892 
 Task 2 	 Avg_acc: 0.766 	 Whole_acc: 0.654 
 Task 3 	 Avg_acc: 0.766 	 Whole_acc: 0.723 
 Task 4 	 Avg_acc: 0.788 	 Whole_acc: 0.725 
 Task 5 	 Avg_acc: 0.767 	 Whole_acc: 0.698 
 Task 6 	 Avg_acc: 0.711 	 Whole_acc: 0.611 
 Task 7 	 Avg_acc: 0.675 	 Whole_acc: 0.609 
 Task 8 	 Avg_acc: 0.633 	 Whole_acc: 0.595 
 Task 9 	 Avg_acc: 0.609 	 Whole_acc: 0.533 
curriculum_rel_num: 5 || curriculum_instance_num: 10 
 Task 0 	 Avg_acc: 0.913 	 Whole_acc: 0.913 
 Task 1 	 Avg_acc: 0.905 	 Whole_acc: 0.906 
 Task 2 	 Avg_acc: 0.775 	 Whole_acc: 0.650 
 Task 3 	 Avg_acc: 0.781 	 Whole_acc: 0.723 
 Task 4 	 Avg_acc: 0.804 	 Whole_acc: 0.733 
 Task 5 	 Avg_acc: 0.784 	 Whole_acc: 0.737 
 Task 6 	 Avg_acc: 0.724 	 Whole_acc: 0.652 
 Task 7 	 Avg_acc: 0.705 	 Whole_acc: 0.656 
 Task 8 	 Avg_acc: 0.676 	 Whole_acc: 0.645 
 Task 9 	 Avg_acc: 0.624 	 Whole_acc: 0.560 
curriculum_rel_num: 5 || curriculum_instance_num: 20 
 Task 0 	 Avg_acc: 0.913 	 Whole_acc: 0.913 
 Task 1 	 Avg_acc: 0.911 	 Whole_acc: 0.913 
 Task 2 	 Avg_acc: 0.787 	 Whole_acc: 0.673 
 Task 3 	 Avg_acc: 0.780 	 Whole_acc: 0.732 
 Task 4 	 Avg_acc: 0.778 	 Whole_acc: 0.713 
 Task 5 	 Avg_acc: 0.774 	 Whole_acc: 0.705 
 Task 6 	 Avg_acc: 0.715 	 Whole_acc: 0.629 
 Task 7 	 Avg_acc: 0.686 	 Whole_acc: 0.628 
 Task 8 	 Avg_acc: 0.647 	 Whole_acc: 0.610 
 Task 9 	 Avg_acc: 0.604 	 Whole_acc: 0.544 
